year,stage_no,date,start,finish,distance_km,type
2007,15,2007-07-23,Foix,Loudenvielle,196.0,Mountain stage
2007,16,2007-07-25,Orthez,Gourette–Col d'Aubisque,218.5,Mountain stage
2007,17,2007-07-26,Pau,Castelsarrasin,188.5,Intermediate stage
2007,18,2007-07-27,Cahors,Angoulême,211.0,Plain stage
2007,19,2007-07-28,Cognac,Angoulême,55.5,Individual time trial
2007,20,2007-07-29,Marcoussis,Paris,146.0,Plain stage
2008,1,2008-07-05,Brest,Plumelec,197.5,Flat stage
2008,2,2008-07-06,Auray,Saint-Brieuc,164.5,Flat stage
2008,3,2008-07-07,Saint-Malo,Nantes,208.0,Flat stage
2008,4,2008-07-08,Cholet,Cholet,29.5,Individual time trial
2008,5,2008-07-09,Cholet,Châteauroux,232.0,Flat stage
2008,6,2008-07-10,Aigurande,Super-Besse Sancy,195.5,Transition stage
2008,7,2008-07-11,Brioude,Aurillac,159.0,Transition stage
2008,8,2008-07-12,Figeac,Toulouse,172.5,Flat stage
2008,9,2008-07-13,Toulouse,Bagnères-de-Bigorre,224.0,Mountain stage
2008,10,2008-07-14,Pau,Hautacam,156.0,Mountain stage
